sample_key,decision,category,reason,reviewer
bench600:idx381:release000382,selected,recording_primary,"Owner selected idx381 as the new Interaction opener and named it Bowl. Full-size endpoint and complete rollout review passed; the target-centered crop is spatially aligned across the input, endpoint, and every rollout frame.",user
bench600:idx086:release000087,rejected,replaced_by_owner,"Retired from the Interaction UI because the owner judged the person-and-equipment case less suitable for the final recording; v4 records and prior assets remain intact.",user
bench600:idx041:release000042,rejected,demo_allocation_overlap,"Retired from the Interaction UI because the exact sample is already used in the final demo-video Gallery Structured Backgrounds section; prior assets remain intact.",user
bench600:idx531:release000532,rejected,superseded,"Previously replaced by idx320 at the owner's explicit request; the prior accepted case and deployed assets remain intact for provenance.",user
bench600:idx128:release000129,selected,recording_primary,"Square geometry; owner explicitly approved the traffic-cone result for recording.",user
bench600:idx280:release000281,selected,backup_only,"Owner reports that the bonsai case is already assigned to a teammate video; retain on the site but do not use for this recording.",user
bench600:idx569:release000570,selected,backup_only,"Owner observed a visible artifact in the plate result; retain on the site but do not use for this recording.",user
bench600:idx002:release000003,rejected,quality_gate,"Full-size endpoint has visible global softness and local pavement smoothing.",codex
bench600:idx005:release000006,rejected,quality_gate,"Endpoint contains an unnatural dark/blurred road patch near the parked vehicle.",codex
legacy_sraw:idx017:key00000049,rejected,quality_gate,"High-frequency floor restoration contains a conspicuous light patch and local texture mismatch.",codex
bench600:idx205:release000206,rejected,quality_gate,"Target removal is clean at thumbnail scale but the full-size endpoint is visibly softer than the ground truth.",codex
bench600:idx213:release000214,rejected,quality_gate,"Removal is strong but the full-size endpoint shows broader pavement softness and is reserved for the primary gallery pool.",codex
bench600:idx320:release000321,selected,recording_primary,"Owner explicitly requested idx320 for the interaction page. The earlier full-frame sharpness/tone caveat remains documented; this selection is illustrative demo material only.",user
